Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4",0805,3,10u,C91245
"C10, C8",0805,2,1u,C28323
"C11, C12, C13, C14, C5, C6, C7, C9",0805,8,100n,C49678
"C2, C3",0805,2,22pf,C1804
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",SOT-23,22,BAV70,C68978
F0,1206,1,polyfuse,C69688
J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J1,PinSocket_1x05_P2.54mm_Vertical,1,BREAKOUT,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Female,
J4,PinSocket_1x01_P1.27mm_Vertical,1,Conn_01x01_Male,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K41, K5, K6, K7, K8, K9",MX100H_modified,38,KEYSW,C41430893
"R1, R5",0805,2,1k,C115316
"R2, R3",0805,2,27,C104170
"R6, R7",0805,2,5.1k,C27834
R8,0805,1,10K,C115309
"SW1, SW2",RotaryEncoder_EC11,2,RotaryEncoder_Switch,
SW3,SW_SPST_TL3342,1,SW_PUSH,C318884
SW4,SW_SPST_TL3342,1,RESET ,C318884
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
U44,SOT-23-6,1,SRV05-4,C85364
Y0,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHZ Crystal ,C9002
